id,x,y,containmentdatetime,controldatetime,dailyacres,discoveryacres,firecause,firediscoverydatetime,incidenttypecategory,incidenttypekind,initiallatitude,initiallongitude,irwinid,localincidentidentifier,poocounty,poodispatchcenterid,poofips,poostate,uniquefireidentifier,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,wind_speed_2m_mean,wind_speed_2m_max_mean,wind_speed_10m_mean,wind_speed_10m_max_mean,humidity_mean,temp_2m_mean,rain_sum,dew_frost_point_2m,wet_bulb_temp_2m,relative_humidity,clear_sky_photosynthetically_active_radiation,all_sky_photosynthetically_active_radiation,all_sky_surface_uv_index
1,-115.748812463,40.617505716,2020-08-03 23:00:00+00:00,2020-09-02 15:00:00+00:00,5985.9,5.0,Natural,2020-07-19 23:00:00+00:00,WF,FI,40.602563,-115.719777,{91E0CBAB-A24E-4590-B6C6-2B4A46907E8A},10145,Elko,NVEIC,32007,US-NV,2020-NVECFX-010145,24.8,33.19,5.92,0.0,1.76,3.42,2.61,4.52,0.31,0.37,1.9339130434782608,3.9147826086956523,2.865217391304348,5.2371739130434785,5.6573913043478266,23.39630434782609,12.62,3.02,13.91,27.31,155.74,135.5,2.55
5,-113.751211511,35.515265291,2020-10-17 21:59:59+00:00,2020-10-19 15:00:00+00:00,135.0,1.0,Human,2020-10-15 18:17:00+00:00,WF,FI,35.40572,-113.7708,{E57E65A4-51C4-44BB-B2C9-B2219E28BEBE},2177,Mohave,AZPDC,4015,US-AZ,2020-AZCRD-002177,22.72,31.95,2.69,0.0,2.65,4.88,3.88,6.57,0.12,0.42,2.0260000000000002,3.9799999999999995,2.982,5.186,2.164,21.522,0.0,-6.5,8.11,13.62,97.43,97.5,1.37
10,-120.073602221,39.769988862,2020-06-24 19:02:00+00:00,2020-06-25 16:05:59+00:00,132.0,15.0,Natural,2020-06-24 00:17:59+00:00,WF,FI,39.78019,-120.1027,{60241FCA-D61E-4D42-8F5E-E316AAE988FB},30327,Lassen,NVSFC,6035,US-CA,2020-NVCCD-030327,26.21,35.48,7.57,0.01,1.62,4.3,2.66,6.88,0.29,0.38,1.7000000000000002,3.59,2.8150000000000004,5.65,7.875,25.6,0.16,7.16,16.69,33.44,160.5,160.38,2.82
12,-120.772613157,39.361785201,2021-01-20 03:29:00+00:00,2021-01-21 00:57:00+00:00,1.88,1.0,Human,2021-01-19 19:40:00+00:00,WF,FI,39.37291,-120.7704,{4F82FED8-D0CB-46C9-AE88-54097739EC7E},111,Nevada,CAGVCC,6057,US-CA,2021-CATNF-000111,-0.55,3.97,2.14,0.0,0.06,0.1,5.79,7.85,0.63,0.62,0.25666666666666665,0.7666666666666667,3.2466666666666666,4.54,2.686666666666667,1.5,0.0,-9.35,-4.95,51.38,59.11,57.91,0.37
15,-122.974080853,41.8259162040001,2020-07-23 17:00:00+00:00,2020-07-26 15:00:00+00:00,13.0,0.1,Human,2020-07-22 19:09:59+00:00,WF,FI,41.825911,-122.974067,{22CB53CB-CA6E-4CD4-B085-5623B8E1B51C},5480,Siskiyou,CAYICC,6093,US-CA,2020-CAKNF-005480,22.3,32.4,8.0,0.0,0.16,0.45,1.83,3.48,0.4,0.48,0.146,0.492,1.766,3.176,6.859999999999999,21.058,1.6099999999999999,8.76,15.53,48.62,142.94,114.08,1.96
19,-107.77421052,37.8068059660001,2020-10-27 14:00:00+00:00,2020-11-19 21:00:00+00:00,597.8,1.0,Unknown,2020-10-19 19:31:59+00:00,WF,FI,37.8068,-107.7742,{C57B0DDA-E455-48D4-80F5-D8B026C97487},1214,San Juan,CODRC,8111,US-CO,2020-COSJF-001214,2.95,13.23,2.93,0.0,0.43,0.85,2.88,4.37,0.35,0.37,0.5675,1.00375,2.72125,4.1246875,2.795,-2.0153125,57.95,-8.1,-2.57,50.88,91.81,89.71,1.18
20,-108.307915295,34.0240623970001,2020-08-08 19:50:59+00:00,2020-08-22 16:09:59+00:00,14.0,0.3,Natural,2020-08-06 19:08:43+00:00,WF,FI,34.04701,-108.3095,{9F4DFE56-1D07-4E6E-AA1C-1F1A6077B0AA},530,Catron,NMSDC,35003,US-NM,2020-NMGNF-000530,23.24,30.63,7.51,0.38,2.23,3.47,3.2,4.69,0.35,0.4,2.0241176470588234,3.5617647058823527,2.987058823529412,4.948823529411764,8.325882352941177,23.109411764705882,6.68,5.86,14.55,35.31,154.51,139.33,2.79
22,-110.827210845,34.4023353150001,2020-08-15 20:28:00+00:00,2020-08-18 18:53:59+00:00,2.5,0.1,Natural,2020-08-13 19:24:19+00:00,WF,FI,34.44263,-110.8091,{46BC807F-A321-4BB6-A2C0-E23E5EC37A73},781,Coconino,AZSDC,4005,US-AZ,2020-AZASF-000781,27.02,35.28,8.18,0.01,0.95,1.85,1.8,3.19,0.31,0.41,1.49,2.555,2.525,4.011666666666667,7.376666666666666,27.459999999999997,1.35,7.83,17.42,32.5,150.2,131.56,2.67
24,-112.964611195,33.5030250780001,2020-07-01 00:59:59+00:00,2020-07-03 00:59:59+00:00,90.0,80.0,Human,2020-06-28 23:15:00+00:00,WF,FI,33.49935,-112.9559,{BE009FEE-3240-4299-9C2D-09AD63D238D8},1079,Maricopa,AZPDC,4013,US-AZ,2020-AZA4S-001079,31.69,39.45,7.2,0.0,4.42,7.07,5.88,9.25,0.08,0.37,3.17,5.158333333333333,4.263333333333333,6.491666666666667,6.2250000000000005,30.845,0.03,8.37,20.03,24.81,161.2,160.22,2.71
32,-114.011012286,41.6797459640001,2020-06-07 15:00:00+00:00,2020-06-07 17:00:00+00:00,33.0,0.1,Natural,2020-06-06 03:49:00+00:00,WF,FI,41.6717,-113.9535,{6E3FB006-4FC2-489D-A7DF-8BB53F12D252},223,Box Elder,UTNUC,49003,US-UT,2020-UTSLD-000223,16.77,24.44,7.45,7.66,2.57,6.55,3.62,8.89,0.42,0.52,3.25,6.305,4.484999999999999,8.43,5.800000000000001,12.795,10.76,6.85,11.81,54.5,156.52,82.11,1.52
